Code,City,County,Zip Code Map,Complete,,,
98560,Matlock,Mason,View Map,,,,
98584,Shelton,Mason,View Map,,,,
98588,Tahuya,Mason,View Map,,,,
98592,Union,Mason,View Map,,,,
98812,Brewster,Okanogan,View Map,,,,
98814,Carlton,Okanogan,View Map,,,,
98819,Conconully,Okanogan,View Map,,,,
99116,Coulee Dam,Okanogan,View Map,,,,
99124,Elmer City,Okanogan,View Map,,,,
98827,Loomis,Okanogan,View Map,,,,
98829,Malott,Okanogan,View Map,,,,
98833,Mazama,Okanogan,View Map,,,,
98834,Methow,Okanogan,View Map,,,,
99155,Nespelem,Okanogan,View Map,,,,
98840,Okanogan,Okanogan,View Map,,,,
98841,Omak,Okanogan,View Map,,,,
98844,Oroville,Okanogan,View Map,,,,
98846,Pateros,Okanogan,View Map,,,,
98849,Riverside,Okanogan,View Map,,,,
98855,Tonasket,Okanogan,View Map,,,,
98856,Twisp,Okanogan,View Map,,,,
98859,Wauconda,Okanogan,View Map,,,,
98862,Winthrop,Okanogan,View Map,,,,
98527,Bay Center,Pacific,View Map,,,,
98614,Chinook,Pacific,View Map,,,,
98624,Ilwaco,Pacific,View Map,,,,
98554,Lebam,Pacific,View Map,,,,
98631,Long Beach,Pacific,View Map,,,,
98561,Menlo,Pacific,View Map,,,,
98637,Nahcotta,Pacific,View Map,,,,
98638,Naselle,Pacific,View Map,,,,
98640,Ocean Park,Pacific,View Map,,,,
98641,Oysterville,Pacific,View Map,,,,
98577,Raymond,Pacific,View Map,,,,
98644,Seaview,Pacific,View Map,,,,
98586,South Bend,Pacific,View Map,,,,
98590,Tokeland,Pacific,View Map,,,,
99119,Cusick,Pend Oreille,View Map,,,,
99139,Ione,Pend Oreille,View Map,,,,
99152,Metaline,Pend Oreille,View Map,,,,
99153,Metaline Falls,Pend Oreille,View Map,,,,
99156,Newport,Pend Oreille,View Map,,,,
99180,Usk,Pend Oreille,View Map,,,,
98303,Anderson Island,Pierce,View Map,,,,
98304,Ashford,Pierce,View Map,,,,
98391,Bonney Lake,Pierce,View Map,,,,
98321,Buckley,Pierce,View Map,,,,
98430,Camp Murray,Pierce,View Map,,,,
98323,Carbonado,Pierce,View Map,,,,
98327,Dupont,Pierce,View Map,,,,
98328,Eatonville,Pierce,View Map,,,,
98330,Elbe,Pierce,View Map,,,,
98333,Fox Island,Pierce,View Map,,,,
98329,Gig Harbor,Pierce,View Map,,,,
98332,Gig Harbor,Pierce,View Map,,,,
98335,Gig Harbor,Pierce,View Map,,,,
98338,Graham,Pierce,View Map,,,,
98344,Kapowsin,Pierce,View Map,,,,
98348,La Grande,Pierce,View Map,,,,
98349,Lakebay,Pierce,View Map,,,,
98439,Lakewood,Pierce,View Map,,,,
98492,Lakewood,Pierce,View Map,,,,
98496,Lakewood,Pierce,View Map,,,,
98497,Lakewood,Pierce,View Map,,,,
98498,Lakewood,Pierce,View Map,,,,
98499,Lakewood,Pierce,View Map,,,,
98351,Longbranch,Pierce,View Map,,,,
98397,Longmire,Pierce,View Map,,,,
98438,Mcchord Afb,Pierce,View Map,,,,
98558,Mckenna,Pierce,View Map,,,,
98354,Milton,Pierce,View Map,,,,
98360,Orting,Pierce,View Map,,,,
98398,Paradise Inn,Pierce,View Map,,,,
98371,Puyallup,Pierce,View Map,,,,
98372,Puyallup,Pierce,View Map,,,,
98373,Puyallup,Pierce,View Map,,,,
98374,Puyallup,Pierce,View Map,,,,
98375,Puyallup,Pierce,View Map,,,,
98580,Roy,Pierce,View Map,,,,
98385,South Prairie,Pierce,View Map,,,,
98387,Spanaway,Pierce,View Map,,,,
98388,Steilacoom,Pierce,View Map,,,,
98352,Sumner,Pierce,View Map,,,,
98390,Sumner,Pierce,View Map,,,,
98401,Tacoma,Pierce,View Map,,,,
98402,Tacoma,Pierce,View Map,,,,
98403,Tacoma,Pierce,View Map,,,,
98404,Tacoma,Pierce,View Map,,,,
98405,Tacoma,Pierce,View Map,,,,
98406,Tacoma,Pierce,View Map,,,,
98407,Tacoma,Pierce,View Map,,,,
98408,Tacoma,Pierce,View Map,,,,
98409,Tacoma,Pierce,View Map,,,,
98411,Tacoma,Pierce,View Map,,,,
98412,Tacoma,Pierce,View Map,,,,
98413,Tacoma,Pierce,View Map,,,,
98415,Tacoma,Pierce,View Map,,,,
98416,Tacoma,Pierce,View Map,,,,
98417,Tacoma,Pierce,View Map,,,,
98418,Tacoma,Pierce,View Map,,,,
98419,Tacoma,Pierce,View Map,,,,
98421,Tacoma,Pierce,View Map,,,,
98422,Tacoma,Pierce,View Map,,,,
98424,Tacoma,Pierce,View Map,,,,
98431,Tacoma,Pierce,View Map,,,,
98433,Tacoma,Pierce,View Map,,,,
98442,Tacoma,Pierce,View Map,,,,
98443,Tacoma,Pierce,View Map,,,,
98444,Tacoma,Pierce,View Map,,,,
98445,Tacoma,Pierce,View Map,,,,
98446,Tacoma,Pierce,View Map,,,,
98447,Tacoma,Pierce,View Map,,,,
98448,Tacoma,Pierce,View Map,,,,
98450,Tacoma,Pierce,View Map,,,,
98455,Tacoma,Pierce,View Map,,,,
98460,Tacoma,Pierce,View Map,,,,
98464,Tacoma,Pierce,View Map,,,,
98465,Tacoma,Pierce,View Map,,,,
98466,Tacoma,Pierce,View Map,,,,
98471,Tacoma,Pierce,View Map,,,,
98477,Tacoma,Pierce,View Map,,,,
98481,Tacoma,Pierce,View Map,,,,
98490,Tacoma,Pierce,View Map,,,,
98493,Tacoma,Pierce,View Map,,,,
98467,University Place,Pierce,View Map,,,,
98394,Vaughn,Pierce,View Map,,,,
98395,Wauna,Pierce,View Map,,,,
98396,Wilkeson,Pierce,View Map,,,,
98222,Blakely Island,San Juan,View Map,,,,
98243,Deer Harbor,San Juan,View Map,,,,
98245,Eastsound,San Juan,View Map,,,,
98250,Friday Harbor,San Juan,View Map,,,,
98261,Lopez Island,San Juan,View Map,,,,
98279,Olga,San Juan,View Map,,,,
98280,Orcas,San Juan,View Map,,,,
98286,Shaw Island,San Juan,View Map,,,,
98297,Waldron,San Juan,View Map,,,,
98221,Anacortes,Skagit,View Map,,,,
98232,Bow,Skagit,View Map,,,,
98233,Burlington,Skagit,View Map,,,,
98235,Clearlake,Skagit,View Map,,,,
98237,Concrete,Skagit,View Map,,,,
98238,Conway,Skagit,View Map,,,,
98255,Hamilton,Skagit,View Map,,,,
98257,La Conner,Skagit,View Map,,,,
98263,Lyman,Skagit,View Map,,,,
98267,Marblemount,Skagit,View Map,,,,
98273,Mount Vernon,Skagit,View Map,,,,
98274,Mount Vernon,Skagit,View Map,,,,
98283,Rockport,Skagit,View Map,,,,
98284,Sedro Woolley,Skagit,View Map,,,,
98610,Carson,Skamania,View Map,,,,
98639,North Bonneville,Skamania,View Map,,,,
98648,Stevenson,Skamania,View Map,,,,
98651,Underwood,Skamania,View Map,,,,
98223,Arlington,Snohomish,View Map,,,,
98012,Bothell,Snohomish,View Map,,,,
98021,Bothell,Snohomish,View Map,,,,
98241,Darrington,Snohomish,View Map,,,,
98020,Edmonds,Snohomish,View Map,,,,
98026,Edmonds,Snohomish,View Map,,,,
98201,Everett,Snohomish,View Map,,,,
98203,Everett,Snohomish,View Map,,,,
98204,Everett,Snohomish,View Map,,,,
98205,Everett,Snohomish,View Map,,,,
98206,Everett,Snohomish,View Map,,,,
98207,Everett,Snohomish,View Map,,,,
98208,Everett,Snohomish,View Map,,,,
98213,Everett,Snohomish,View Map,,,,
98251,Gold Bar,Snohomish,View Map,,,,
98252,Granite Falls,Snohomish,View Map,,,,
98256,Index,Snohomish,View Map,,,,
98258,Lake Stevens,Snohomish,View Map,,,,
98036,Lynnwood,Snohomish,View Map,,,,
98037,Lynnwood,Snohomish,View Map,,,,
98046,Lynnwood,Snohomish,View Map,,,,
98087,Lynnwood,Snohomish,View Map,,,,
98270,Marysville,Snohomish,View Map,,,,
98271,Marysville,Snohomish,View Map,,,,
98082,Mill Creek,Snohomish,View Map,,,,
98272,Monroe,Snohomish,View Map,,,,
98043,Mountlake Terrace,Snohomish,View Map,,,,
98275,Mukilteo,Snohomish,View Map,,,,
98259,North Lakewood,Snohomish,View Map,,,,
98287,Silvana,Snohomish,View Map,,,,
98290,Snohomish,Snohomish,View Map,,,,
98291,Snohomish,Snohomish,View Map,,,,
98296,Snohomish,Snohomish,View Map,,,,
98292,Stanwood,Snohomish,View Map,,,,
98293,Startup,Snohomish,View Map,,,,
98294,Sultan,Snohomish,View Map,,,,
99001,Airway Heights,Spokane,View Map,,,,
99003,Chattaroy,Spokane,View Map,,,,
99004,Cheney,Spokane,View Map,,,,
99005,Colbert,Spokane,View Map,,,,
99006,Deer Park,Spokane,View Map,,,,
99009,Elk,Spokane,View Map,,,,
99011,Fairchild Air Force Base,Spokane,View Map,,,,
99012,Fairfield,Spokane,View Map,,,,
99014,Four Lakes,Spokane,View Map,,,,
99016,Greenacres,Spokane,View Map,,,,
99018,Latah,Spokane,View Map,,,,
99019,Liberty Lake,Spokane,View Map,,,,
99020,Marshall,Spokane,View Map,,,,
99021,Mead,Spokane,View Map,,,,
99022,Medical Lake,Spokane,View Map,,,,
99023,Mica,Spokane,View Map,,,,
99025,Newman Lake,Spokane,View Map,,,,
99026,Nine Mile Falls,Spokane,View Map,,,,
99027,Otis Orchards,Spokane,View Map,,,,
99030,Rockford,Spokane,View Map,,,,
99031,Spangle,Spokane,View Map,,,,
99201,Spokane,Spokane,View Map,,,,
99202,Spokane,Spokane,View Map,,,,
99203,Spokane,Spokane,View Map,,,,
99204,Spokane,Spokane,View Map,,,,
99205,Spokane,Spokane,View Map,,,,
99206,Spokane,Spokane,View Map,,,,
99207,Spokane,Spokane,View Map,,,,
99208,Spokane,Spokane,View Map,,,,
99209,Spokane,Spokane,View Map,,,,
99210,Spokane,Spokane,View Map,,,,
99211,Spokane,Spokane,View Map,,,,
99212,Spokane,Spokane,View Map,,,,
99213,Spokane,Spokane,View Map,,,,
99214,Spokane,Spokane,View Map,,,,
99215,Spokane,Spokane,View Map,,,,
99216,Spokane,Spokane,View Map,,,,
99217,Spokane,Spokane,View Map,,,,
99218,Spokane,Spokane,View Map,,,,
99219,Spokane,Spokane,View Map,,,,
99220,Spokane,Spokane,View Map,,,,
99223,Spokane,Spokane,View Map,,,,
99224,Spokane,Spokane,View Map,,,,
99228,Spokane,Spokane,View Map,,,,
99251,Spokane,Spokane,View Map,,,,
99252,Spokane,Spokane,View Map,,,,
99256,Spokane,Spokane,View Map,,,,
99258,Spokane,Spokane,View Map,,,,
99260,Spokane,Spokane,View Map,,,,
99299,Spokane,Spokane,View Map,,,,
99036,Valleyford,Spokane,View Map,,,,
99037,Veradale,Spokane,View Map,,,,
99039,Waverly,Spokane,View Map,,,,
99101,Addy,Stevens,View Map,,,,
99109,Chewelah,Stevens,View Map,,,,
99110,Clayton,Stevens,View Map,,,,
99114,Colville,Stevens,View Map,,,,
99126,Evans,Stevens,View Map,,,,
99013,Ford,Stevens,View Map,,,,
99129,Fruitland,Stevens,View Map,,,,
99131,Gifford,Stevens,View Map,,,,
99137,Hunters,Stevens,View Map,,,,
99141,Kettle Falls,Stevens,View Map,,,,
99148,Loon Lake,Stevens,View Map,,,,
99151,Marcus,Stevens,View Map,,,,
99157,Northport,Stevens,View Map,,,,
99167,Rice,Stevens,View Map,,,,
99173,Springdale,Stevens,View Map,,,,
99034,Tumtum,Stevens,View Map,,,,
99181,Valley,Stevens,View Map,,,,
99040,Wellpinit,Stevens,View Map,,,,
98530,Bucoda,Thurston,View Map,,,,
98540,East Olympia,Thurston,View Map,,,,
98503,Lacey,Thurston,View Map,,,,
98509,Lacey,Thurston,View Map,,,,
98556,Littlerock,Thurston,View Map,,,,
98501,Olympia,Thurston,View Map,,,,
98502,Olympia,Thurston,View Map,,,,
98504,Olympia,Thurston,View Map,,,,
98505,Olympia,Thurston,View Map,,,,
98506,Olympia,Thurston,View Map,,,,
98507,Olympia,Thurston,View Map,,,,
98508,Olympia,Thurston,View Map,,,,
98512,Olympia,Thurston,View Map,,,,
98513,Olympia,Thurston,View Map,,,,
98516,Olympia,Thurston,View Map,,,,
98599,Olympia,Thurston,View Map,,,,
98576,Rainier,Thurston,View Map,,,,
98579,Rochester,Thurston,View Map,,,,
98589,Tenino,Thurston,View Map,,,,
98511,Tumwater,Thurston,View Map,,,,
98597,Yelm,Thurston,View Map,,,,
98612,Cathlamet,Wahkiakum,View Map,,,,
98621,Grays River,Wahkiakum,View Map,,,,
98643,Rosburg,Wahkiakum,View Map,,,,
98647,Skamokawa,Wahkiakum,View Map,,,,
99323,Burbank,Walla Walla,View Map,,,,
99324,College Place,Walla Walla,View Map,,,,
99329,Dixie,Walla Walla,View Map,,,,
99348,Prescott,Walla Walla,View Map,,,,
99360,Touchet,Walla Walla,View Map,,,,
99361,Waitsburg,Walla Walla,View Map,,,,
99362,Walla Walla,Walla Walla,View Map,,,,
99363,Wallula,Walla Walla,View Map,,,,
98220,Acme,Whatcom,View Map,,,,
98225,Bellingham,Whatcom,View Map,,,,
98226,Bellingham,Whatcom,View Map,,,,
98227,Bellingham,Whatcom,View Map,,,,
98228,Bellingham,Whatcom,View Map,,,,
98229,Bellingham,Whatcom,View Map,,,,
98230,Blaine,Whatcom,View Map,,,,
98231,Blaine,Whatcom,View Map,,,,
98240,Custer,Whatcom,View Map,,,,
98244,Deming,Whatcom,View Map,,,,
98247,Everson,Whatcom,View Map,,,,
98248,Ferndale,Whatcom,View Map,,,,
98262,Lummi Island,Whatcom,View Map,,,,
98264,Lynden,Whatcom,View Map,,,,
98266,Maple Falls,Whatcom,View Map,,,,
98276,Nooksack,Whatcom,View Map,,,,
98281,Point Roberts,Whatcom,View Map,,,,
98295,Sumas,Whatcom,View Map,,,,
99102,Albion,Whitman,View Map,,,,
99104,Belmont,Whitman,View Map,,,,
99111,Colfax,Whitman,View Map,,,,
99113,Colton,Whitman,View Map,,,,
99125,Endicott,Whitman,View Map,,,,
99128,Farmington,Whitman,View Map,,,,
99130,Garfield,Whitman,View Map,,,,
99136,Hay,Whitman,View Map,,,,
99333,Hooper,Whitman,View Map,,,,
99143,Lacrosse,Whitman,View Map,,,,
99017,Lamont,Whitman,View Map,,,,
99149,Malden,Whitman,View Map,,,,
99158,Oakesdale,Whitman,View Map,,,,
99161,Palouse,Whitman,View Map,,,,
99163,Pullman,Whitman,View Map,,,,
99164,Pullman,Whitman,View Map,,,,
99165,Pullman,Whitman,View Map,,,,
99170,Rosalia,Whitman,View Map,,,,
99171,Saint John,Whitman,View Map,,,,
99174,Steptoe,Whitman,View Map,,,,
99033,Tekoa,Whitman,View Map,,,,
99176,Thornton,Whitman,View Map,,,,
99179,Uniontown,Whitman,View Map,,,,
98920,Brownstown,Yakima,View Map,,,,
98921,Buena,Yakima,View Map,,,,
98923,Cowiche,Yakima,View Map,,,,
98929,Goose Prairie,Yakima,View Map,,,,
98930,Grandview,Yakima,View Map,,,,
98932,Granger,Yakima,View Map,,,,
98933,Harrah,Yakima,View Map,,,,
98935,Mabton,Yakima,View Map,,,,
98936,Moxee,Yakima,View Map,,,,
98937,Naches,Yakima,View Map,,,,
98938,Outlook,Yakima,View Map,,,,
98939,Parker,Yakima,View Map,,,,
98942,Selah,Yakima,View Map,,,,
98944,Sunnyside,Yakima,View Map,,,,
98947,Tieton,Yakima,View Map,,,,
98948,Toppenish,Yakima,View Map,,,,
98951,Wapato,Yakima,View Map,,,,
98952,White Swan,Yakima,View Map,,,,
98901,Yakima,Yakima,View Map,,,,
98902,Yakima,Yakima,View Map,,,,
98903,Yakima,Yakima,View Map,,,,
98904,Yakima,Yakima,View Map,,,,
98907,Yakima,Yakima,View Map,,,,
98908,Yakima,Yakima,View Map,,,,
98909,Yakima,Yakima,View Map,,,,
98953,Zillah,Yakima,View Map,,,,
732,493,39,,51,,,
